hash,category,movie_name,n_trials,n_frames_clip
jlM0Ornu8Dw2nAXCwego,Rendered,mountainlake_047-1-0-70-0_54.89.40.102,2,75
YWz8BdF7JHpb7SyGU3LO,Rendered,run125-lowPolyJungle-1-0,2,75
NHlF8hOkZ6psFRIVhB6N,Rendered,ancienttomb_107-1-4-70-0_54.165.28.255,2,75
AxNNo310kAl9uUSr+hXS,Rendered,medievalsewer_009-1-6-70-0_107.23.36.15,2,75
G8GCQlSYxw5oG/LVKDs2,Rendered,americandiner_099-1-5-70-0_184.73.123.94,2,75
FQR1XltfRJLPikdVpYNn,Rendered,mountainlake_008-1-0-70-0_54.205.66.32,2,75
SuNRz+E/BsGGxVlNWLt9,Rendered,shintoday_036-1-12-70-0_184.73.123.94,2,75
mbeT2YEuzrol94GMBsSP,Rendered,lowpolyjungle_113-1-9-70-0_54.159.174.165,2,75
MaN8zZQItdhsFNBq5/yl,Rendered,run213-darkTemple-1-0,2,75
yfFAPn1QpVQmEC2iXg07,Rendered,swamp_103-1-11-70-0_54.162.127.170,2,75
fSfoxctVyPEoVzFOpsAw,Rendered,ancienttomb_068-1-4-70-0_34.239.124.192,2,75
5Q4+LRPdnmpiazfLNOdJ,Rendered,mountainlake_006-1-0-70-0_184.73.123.94,2,75
EyGfkWSsxEsE8f3GX5Ox,Rendered,lowpolyjungle_079-1-9-70-0_52.87.152.28,2,75
JOYs8Wny1GJlw6AxCVo5,Rendered,lowpolyjungle_015-1-9-70-0_54.175.147.171,2,75
HvUTYlGssHeK5Ub4iNLY,Rendered,mountainlake_075-1-0-70-0_52.205.253.179,2,75
KjDfO15MEsKyQ1ecL7gs,Rendered,run257-mountainLake-1-0,2,75
YfqXNa8nksH/H4Q7tw5G,Rendered,lowpolyjungle_118-1-9-70-0_54.83.154.242,2,75
OFk94miLCLRW7fhR6BQE,Rendered,swamp_075-1-11-70-0_54.165.28.255,2,75
cX1uqe3yuBtkCRNeZPSD,Rendered,lowpolyjungle_125-1-9-70-0_54.175.147.171,2,75
